"country_name","region","income_group","year","coverage","cancer_prevented","deaths_prevented","assumption_type","possible_cancer_cases","possible_cancer_deaths"
"Panama","Latin America & Caribbean","High income",2012,0.78,360.19,256.97,"Historical Results",471.21,336.17
"Peru","Latin America & Caribbean","Upper middle income",2012,0,0,0,"Historical Results",6729.63,4813.86
"Philippines","East Asia & Pacific","Lower middle income",2012,0,0,0,"Historical Results",14905.41,10630.72
"Papua New Guinea","East Asia & Pacific","Lower middle income",2012,0,0,0,"Historical Results",1973.93,1486.83
"Poland","Europe & Central Asia","High income",2012,0,0,0,"Historical Results",2234.29,1381.1
"Portugal","Europe & Central Asia","High income",2012,0.87,464.32,231.4,"Historical Results",544.59,271.4
"Paraguay","Latin America & Caribbean","Upper middle income",2012,0,0,0,"Historical Results",2060.16,1515.88
"West Bank and Gaza","Middle East & North Africa","Lower middle income",2012,0,0,0,"Historical Results",463.54,352.55
"Qatar","Middle East & North Africa","High income",2012,0,0,0,"Historical Results",28.91,31.83
"Romania","Europe & Central Asia","High income",2012,0,0,0,"Historical Results",1911.46,1130.16
"Russian Federation","Europe & Central Asia","Upper middle income",2012,0,0,0,"Historical Results",6609.74,3451.91
"Rwanda","Sub-Saharan Africa","Low income",2012,0.45,1409.63,1128.08,"Historical Results",3196.44,2558.01
"Saudi Arabia","Middle East & North Africa","High income",2012,0,0,0,"Historical Results",848.29,596.12
"Sudan","Sub-Saharan Africa","Low income",2012,0,0,0,"Historical Results",3364.89,2612.78
"Senegal","Sub-Saharan Africa","Lower middle income",2012,0,0,0,"Historical Results",5296.89,4178.15
"Singapore","East Asia & Pacific","High income",2012,0,0,0,"Historical Results",242.37,179.51
"Solomon Islands","East Asia & Pacific","Lower middle income",2012,0,0,0,"Historical Results",167.15,119.72
"Sierra Leone","Sub-Saharan Africa","Low income",2012,0,0,0,"Historical Results",1147.5,930.94
"El Salvador","Latin America & Caribbean","Lower middle income",2012,0,0,0,"Historical Results",998.65,768.39
"Somalia","Sub-Saharan Africa","Low income",2012,0,0,0,"Historical Results",2983.93,2515.96
"Serbia","Europe & Central Asia","Upper middle income",2012,0,0,0,"Historical Results",787.28,452.08
"São Tomé and Príncipe","Sub-Saharan Africa","Lower middle income",2012,0,0,0,"Historical Results",84.1,80.59
"Suriname","Latin America & Caribbean","Upper middle income",2012,0,0,0,"Historical Results",101.3,71.45
"Slovak Republic","Europe & Central Asia","High income",2012,0,0,0,"Historical Results",386.21,193.03
"Slovenia","Europe & Central Asia","High income",2012,0.52,25.99,17.12,"Historical Results",51,33.59
"Sweden","Europe & Central Asia","High income",2012,0,0,0,"Historical Results",393.28,167.56
"Eswatini","Sub-Saharan Africa","Lower middle income",2012,0,0,0,"Historical Results",798.45,576.97
"Chad","Sub-Saharan Africa","Low income",2012,0,0,0,"Historical Results",2017.08,1691.93
"Togo","Sub-Saharan Africa","Low income",2012,0,0,0,"Historical Results",1291.66,1016.16
"Thailand","East Asia & Pacific","Upper middle income",2012,0,0,0,"Historical Results",7851.96,5148.34
"Tajikistan","Europe & Central Asia","Lower middle income",2012,0,0,0,"Historical Results",646.46,483.81
"Turkmenistan","Europe & Central Asia","Upper middle income",2012,0,0,0,"Historical Results",574.66,383.59
"Timor-Leste","East Asia & Pacific","Lower middle income",2012,0,0,0,"Historical Results",198.2,149.78
"Tonga","East Asia & Pacific","Upper middle income",2012,0,0,0,"Historical Results",34.54,28.68
"Trinidad and Tobago","Latin America & Caribbean","High income",2012,0,0,0,"Historical Results",182.06,120.4
"Tunisia","Middle East & North Africa","Lower middle income",2012,0,0,0,"Historical Results",388.66,238.28
"Türkiye","Europe & Central Asia","Upper middle income",2012,0,0,0,"Historical Results",3872.28,2543.68
"Tuvalu","East Asia & Pacific","Upper middle income",2012,0,0,0,"Historical Results",3.85,3.2
"Tanzania","Sub-Saharan Africa","Lower middle income",2012,0,0,0,"Historical Results",30884.81,22632.82
"Uganda","Sub-Saharan Africa","Low income",2012,0,0,0,"Historical Results",19945.03,15957.67
"Ukraine","Europe & Central Asia","Lower middle income",2012,0,0,0,"Historical Results",2043.31,898.38
"Uruguay","Latin America & Caribbean","High income",2012,0,0,0,"Historical Results",246.29,164.44
"United States","North America","High income",2012,0.2,2214.49,1119.03,"Historical Results",11298.41,5709.33
"Uzbekistan","Europe & Central Asia","Lower middle income",2012,0,0,0,"Historical Results",2459.82,1658.76
"Vietnam","East Asia & Pacific","Lower middle income",2012,0,0,0,"Historical Results",4740.97,3355.74
"Vanuatu","East Asia & Pacific","Lower middle income",2012,0,0,0,"Historical Results",32.81,29.15
"Samoa","East Asia & Pacific","Lower middle income",2012,0,0,0,"Historical Results",22.29,17.84
"Kosovo","Europe & Central Asia","Upper middle income",2012,0,0,0,"Historical Results",60.48,36.2
"South Africa","Sub-Saharan Africa","Upper middle income",2012,0,0,0,"Historical Results",13069.86,7646.46
"Zambia","Sub-Saharan Africa","Low income",2012,0,0,0,"Historical Results",10103.02,7271.53
"Zimbabwe","Sub-Saharan Africa","Lower middle income",2012,0,0,0,"Historical Results",7605.75,5826.39
"Afghanistan","South Asia","Low income",2013,0,0,0,"Historical Results",3471.95,2687.58
"Angola","Sub-Saharan Africa","Lower middle income",2013,0,0,0,"Historical Results",9890.12,7206.2
"Albania","Europe & Central Asia","Upper middle income",2013,0,0,0,"Historical Results",128.98,78.2
"United Arab Emirates","Middle East & North Africa","High income",2013,0,0,0,"Historical Results",251.43,189.42
"Argentina","Latin America & Caribbean","Upper middle income",2013,0.57,2664.38,1740.38,"Historical Results",4769.74,3115.61
"Armenia","Europe & Central Asia","Upper middle income",2013,0,0,0,"Historical Results",132.1,97.27
"Australia","East Asia & Pacific","High income",2013,0.65,435.62,234.9,"Historical Results",683.86,368.76
"Austria","Europe & Central Asia","High income",2013,0,0,0,"Historical Results",227.22,118.6
"Azerbaijan","Europe & Central Asia","Upper middle income",2013,0,0,0,"Historical Results",378.08,255.1
"Burundi","Sub-Saharan Africa","Low income",2013,0,0,0,"Historical Results",4329.86,3610.92
"Belgium","Europe & Central Asia","High income",2013,0.63,261.98,119.08,"Historical Results",424.32,192.87
"Benin","Sub-Saharan Africa","Lower middle income",2013,0,0,0,"Historical Results",1385.24,1020.47
"Burkina Faso","Sub-Saharan Africa","Low income",2013,0,0,0,"Historical Results",2787.91,2311.32
"Bangladesh","South Asia","Lower middle income",2013,0,0,0,"Historical Results",13292.44,9287.5
"Bulgaria","Europe & Central Asia","Upper middle income",2013,0.22,94.5,51.54,"Historical Results",438.29,239.04
"Bahrain","Middle East & North Africa","High income",2013,0,0,0,"Historical Results",37.31,24.69
"Bahamas, The","Latin America & Caribbean","High income",2013,0,0,0,"Historical Results",51.77,38.09
"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income",2013,0,0,0,"Historical Results",193.63,107.2
"Belarus","Europe & Central Asia","Upper middle income",2013,0,0,0,"Historical Results",391.23,179.81
"Belize","Latin America & Caribbean","Upper middle income",2013,0,0,0,"Historical Results",79.99,77.98
"Bolivia","Latin America & Caribbean","Lower middle income",2013,0,0,0,"Historical Results",2975.58,2253.25
"Brazil","Latin America & Caribbean","Upper middle income",2013,0,0,0,"Historical Results",21707.79,13103.67
"Barbados","Latin America & Caribbean","High income",2013,0,0,0,"Historical Results",34.13,23.21
"Brunei Darussalam","East Asia & Pacific","High income",2013,0.85,39.65,12.98,"Historical Results",47.6,15.59
"Bhutan","South Asia","Lower middle income",2013,0.68,53.39,35.67,"Historical Results",80.12,53.53
"Botswana","Sub-Saharan Africa","Upper middle income",2013,0,0,0,"Historical Results",687.18,478.16
"Central African Republic","Sub-Saharan Africa","Low income",2013,0,0,0,"Historical Results",830.1,681.15
"Canada","North America","High income",2013,0.73,674.87,386.65,"Historical Results",943.35,540.47
"Switzerland","Europe & Central Asia","High income",2013,0.51,75.62,41.16,"Historical Results",151.3,82.34
"Chile","Latin America & Caribbean","High income",2013,0,0,0,"Historical Results",1529.76,1050.73
"China","East Asia & Pacific","Upper middle income",2013,0,0,0,"Historical Results",67586.4,42805.08
"Côte d’Ivoire","Sub-Saharan Africa","Lower middle income",2013,0,0,0,"Historical Results",6386.49,4955.1
"Cameroon","Sub-Saharan Africa","Lower middle income",2013,0,0,0,"Historical Results",6048.74,4478.49
"Congo, Dem. Rep.","Sub-Saharan Africa","Low income",2013,0,0,0,"Historical Results",22166.35,17739.99
"Congo, Rep.","Sub-Saharan Africa","Lower middle income",2013,0,0,0,"Historical Results",1041.18,723.64
"Colombia","Latin America & Caribbean","Upper middle income",2013,0.51,3331.46,2284.42,"Historical Results",6665.58,4570.67
"Comoros","Sub-Saharan Africa","Lower middle income",2013,0,0,0,"Historical Results",349.85,269.66
"Cabo Verde","Sub-Saharan Africa","Lower middle income",2013,0,0,0,"Historical Results",81.56,72.96
"Costa Rica","Latin America & Caribbean","Upper middle income",2013,0,0,0,"Historical Results",337.74,302.97
"Cyprus","Europe & Central Asia","High income",2013,0,0,0,"Historical Results",34.91,43.69
"Czech Republic","Europe & Central Asia","High income",2013,0,0,0,"Historical Results",380.36,230.38
"Germany","Europe & Central Asia","High income",2013,0.29,714.4,359.63,"Historical Results",2513.73,1265.41
"Djibouti","Middle East & North Africa","Lower middle income",2013,0,0,0,"Historical Results",104.43,83.44
"Denmark","Europe & Central Asia","High income",2013,0.75,209.26,97.59,"Historical Results",284.71,132.78
"Dominican Republic","Latin America & Caribbean","Upper middle income",2013,0,0,0,"Historical Results",2027.55,1655.25
"Algeria","Middle East & North Africa","Lower middle income",2013,0,0,0,"Historical Results",2392.03,1566.69
"Ecuador","Latin America & Caribbean","Upper middle income",2013,0,0,0,"Historical Results",3130.1,2198.59
"Egypt, Arab Rep.","Middle East & North Africa","Lower middle income",2013,0,0,0,"Historical Results",2927.09,2203.21
"Spain","Europe & Central Asia","High income",2013,0.74,793.21,395.76,"Historical Results",1093.78,545.73
"Estonia","Europe & Central Asia","High income",2013,0,0,0,"Historical Results",98.06,34.36
"Ethiopia","Sub-Saharan Africa","Low income",2013,0,0,0,"Historical Results",22460.98,18123.38
"Finland","Europe & Central Asia","High income",2013,0,0,0,"Historical Results",121.32,53.17
"Fiji","East Asia & Pacific","Upper middle income",2013,0.59,117.65,95.88,"Historical Results",203.47,165.82
"France","Europe & Central Asia","High income",2013,0.16,421.1,200.3,"Historical Results",2685.57,1277.41
"Micronesia, Fed. Sts.","East Asia & Pacific","Lower middle income",2013,0,0,0,"Historical Results",28.44,21.87
"Gabon","Sub-Saharan Africa","Upper middle income",2013,0,0,0,"Historical Results",479.57,293.11
"United Kingdom","Europe & Central Asia","High income",2013,0.84,1968.31,728.92,"Historical Results",2391.05,885.47
"Georgia","Europe & Central Asia","Upper middle income",2013,0,0,0,"Historical Results",212.59,140.65
"Ghana","Sub-Saharan Africa","Lower middle income",2013,0,0,0,"Historical Results",7606.88,5550.09
"Guinea","Sub-Saharan Africa","Low income",2013,0,0,0,"Historical Results",5391.04,4317.61
"Gambia, The","Sub-Saharan Africa","Low income",2013,0,0,0,"Historical Results",1008.06,902.85
"Guinea-Bissau","Sub-Saharan Africa","Low income",2013,0,0,0,"Historical Results",586.33,476.49
"Equatorial Guinea","Sub-Saharan Africa","Upper middle income",2013,0,0,0,"Historical Results",238.15,156.77
"Greece","Europe & Central Asia","High income",2013,0,0,0,"Historical Results",448.52,210.46
"Guatemala","Latin America & Caribbean","Upper middle income",2013,0,0,0,"Historical Results",4028.45,2896.06
"Guyana","Latin America & Caribbean","Upper middle income",2013,0.09,18.88,11.92,"Historical Results",214.08,135.15
"Honduras","Latin America & Caribbean","Lower middle income",2013,0,0,0,"Historical Results",1713.78,1176.59
"Croatia","Europe & Central Asia","High income",2013,0,0,0,"Historical Results",197.72,98.56
"Haiti","Latin America & Caribbean","Lower middle income",2013,0,0,0,"Historical Results",1566.25,1298.97
"Hungary","Europe & Central Asia","High income",2013,0,0,0,"Historical Results",665.41,281.92
"Indonesia","East Asia & Pacific","Lower middle income",2013,0,0,0,"Historical Results",50604.61,36069.03
"India","South Asia","Lower middle income",2013,0,0,0,"Historical Results",209825.09,150840.55
"Ireland","Europe & Central Asia","High income",2013,0.89,221.35,95.07,"Historical Results",253.78,109
"Iran, Islamic Rep.","Middle East & North Africa","Lower middle income",2013,0,0,0,"Historical Results",1787.33,1490.63
"Iraq","Middle East & North Africa","Upper middle income",2013,0,0,0,"Historical Results",819.17,633.3
"Iceland","Europe & Central Asia","High income",2013,0.9,10.7,6.71,"Historical Results",12.13,7.6
"Israel","Middle East & North Africa","High income",2013,0,0,0,"Historical Results",320.09,220.99
"Italy","Europe & Central Asia","High income",2013,0.56,853.38,323.03,"Historical Results",1554.99,588.61
"Jamaica","Latin America & Caribbean","Upper middle income",2013,0,0,0,"Historical Results",511.25,373.36
"Jordan","Middle East & North Africa","Upper middle income",2013,0,0,0,"Historical Results",343.27,274.24
"Japan","East Asia & Pacific","High income",2013,0.15,956.28,351.12,"Historical Results",6505.33,2388.59
"Kazakhstan","Europe & Central Asia","Upper middle income",2013,0,0,0,"Historical Results",1420.62,743.6
"Kenya","Sub-Saharan Africa","Lower middle income",2013,0,0,0,"Historical Results",14077.98,9932.53
"Kyrgyz Republic","Europe & Central Asia","Lower middle income",2013,0,0,0,"Historical Results",689.35,480.07
"Cambodia","East Asia & Pacific","Lower middle income",2013,0,0,0,"Historical Results",1855.66,1322.4
"Kiribati","East Asia & Pacific","Lower middle income",2013,0,0,0,"Historical Results",31.07,25.49
"Korea, Rep.","East Asia & Pacific","High income",2013,0,0,0,"Historical Results",2074.55,1122.1
"Kuwait","Middle East & North Africa","High income",2013,0,0,0,"Historical Results",59.37,43.84
"Lao PDR","East Asia & Pacific","Lower middle income",2013,0,0,0,"Historical Results",754.75,515.34
"Lebanon","Middle East & North Africa","Lower middle income",2013,0,0,0,"Historical Results",239.07,171.4
"Liberia","Sub-Saharan Africa","Low income",2013,0,0,0,"Historical Results",1830.95,1505.73
"Libya","Middle East & North Africa","Upper middle income",2013,0,0,0,"Historical Results",432.38,334.75
"St. Lucia","Latin America & Caribbean","Upper middle income",2013,0,0,0,"Historical Results",30.66,24.37
"Sri Lanka","South Asia","Lower middle income",2013,0,0,0,"Historical Results",1669.56,1030.36
"Lesotho","Sub-Saharan Africa","Lower middle income",2013,0,0,0,"Historical Results",797.94,588.16
"Lithuania","Europe & Central Asia","High income",2013,0,0,0,"Historical Results",231.69,111.61
"Luxembourg","Europe & Central Asia","High income",2013,0.2,3.68,1.97,"Historical Results",18.76,10.04
"Latvia","Europe & Central Asia","High income",2013,0.5,61.37,33.16,"Historical Results",125.24,67.68
"Morocco","Middle East & North Africa","Lower middle income",2013,0,0,0,"Historical Results",3291.39,2076.16
"Moldova","Europe & Central Asia","Upper middle income",2013,0,0,0,"Historical Results",251.22,153.24
"Madagascar","Sub-Saharan Africa","Low income",2013,0,0,0,"Historical Results",9857.94,7622.15
"Maldives","South Asia","Upper middle income",2013,0,0,0,"Historical Results",61.21,41.71
"Mexico","Latin America & Caribbean","Upper middle income",2013,0.93,12005.54,6865.1,"Historical Results",13172.64,7532.48
"Marshall Islands","East Asia & Pacific","Upper middle income",2013,0.11,1.75,1.4,"Historical Results",16.2,13.03
"North Macedonia","Europe & Central Asia","Upper middle income",2013,0.34,25.77,16.92,"Historical Results",77.33,50.77
"Mali","Sub-Saharan Africa","Low income",2013,0,0,0,"Historical Results",5146.82,4206.4
"Malta","Middle East & North Africa","High income",2013,0.28,2.36,1.78,"Historical Results",8.61,6.5
"Myanmar","East Asia & Pacific","Lower middle income",2013,0,0,0,"Historical Results",9754.03,7213.02
"Montenegro","Europe & Central Asia","Upper middle income",2013,0,0,0,"Historical Results",76.65,46.31
"Mongolia","East Asia & Pacific","Lower middle income",2013,0,0,0,"Historical Results",373.31,335.41
"Mozambique","Sub-Saharan Africa","Low income",2013,0,0,0,"Historical Results",11451.36,9438.25
"Mauritania","Sub-Saharan Africa","Lower middle income",2013,0,0,0,"Historical Results",943.91,714.21
"Mauritius","Sub-Saharan Africa","Upper middle income",2013,0,0,0,"Historical Results",136.55,95.15
"Malawi","Sub-Saharan Africa","Low income",2013,0,0,0,"Historical Results",9784.52,8003.04
"Malaysia","East Asia & Pacific","Upper middle income",2013,0.9,2537.92,2092.38,"Historical Results",2877.46,2372.32
"Namibia","Sub-Saharan Africa","Upper middle income",2013,0,0,0,"Historical Results",813.51,579.59
"Niger","Sub-Saharan Africa","Low income",2013,0,0,0,"Historical Results",1772.83,1519.23
"Nigeria","Sub-Saharan Africa","Lower middle income",2013,0,0,0,"Historical Results",22835.06,17645.07
"Nicaragua","Latin America & Caribbean","Lower middle income",2013,0,0,0,"Historical Results",1321.15,898.6
"Netherlands","Europe & Central Asia","High income",2013,0.59,328.98,140.39,"Historical Results",568.97,242.8
"Norway","Europe & Central Asia","High income",2013,0.75,206.4,79.43,"Historical Results",280.82,108.07
"Nepal","South Asia","Lower middle income",2013,0,0,0,"Historical Results",7052.57,5513.71
"New Zealand","East Asia & Pacific","High income",2013,0.57,84.33,52.94,"Historical Results",150.96,94.76
"Oman","Middle East & North Africa","High income",2013,0,0,0,"Historical Results",163.77,125.41
"Pakistan","South Asia","Lower middle income",2013,0,0,0,"Historical Results",9891.31,6876.64
"Panama","Latin America & Caribbean","High income",2013,0.75,348.4,248.69,"Historical Results",474.01,338.36
"Peru","Latin America & Caribbean","Upper middle income",2013,0,0,0,"Historical Results",6688.19,4788.57
"Philippines","East Asia & Pacific","Lower middle income",2013,0,0,0,"Historical Results",14970.64,10688.69
"Papua New Guinea","East Asia & Pacific","Lower middle income",2013,0,0,0,"Historical Results",2012.66,1518.04
"Poland","Europe & Central Asia","High income",2013,0,0,0,"Historical Results",2165.67,1339.67
"Portugal","Europe & Central Asia","High income",2013,0.88,463.33,231.18,"Historical Results",537.25,268.07
"Paraguay","Latin America & Caribbean","Upper middle income",2013,0.71,1417.85,1044.25,"Historical Results",2037.73,1500.8
"West Bank and Gaza","Middle East & North Africa","Lower middle income",2013,0,0,0,"Historical Results",462.88,352.24
"Qatar","Middle East & North Africa","High income",2013,0,0,0,"Historical Results",31.39,34.59
"Romania","Europe & Central Asia","High income",2013,0,0,0,"Historical Results",1881.04,1113.47
"Russian Federation","Europe & Central Asia","Upper middle income",2013,0,0,0,"Historical Results",6819.23,3563.73
"Rwanda","Sub-Saharan Africa","Low income",2013,0.56,1800.97,1441.97,"Historical Results",3281.65,2627.5
"Saudi Arabia","Middle East & North Africa","High income",2013,0,0,0,"Historical Results",844.47,593.9
"Sudan","Sub-Saharan Africa","Low income",2013,0,0,0,"Historical Results",3456.88,2685.46
"Senegal","Sub-Saharan Africa","Lower middle income",2013,0,0,0,"Historical Results",5443.03,4295.37
"Singapore","East Asia & Pacific","High income",2013,0,0,0,"Historical Results",239.69,177.64
"Solomon Islands","East Asia & Pacific","Lower middle income",2013,0,0,0,"Historical Results",171.41,122.85
"Sierra Leone","Sub-Saharan Africa","Low income",2013,0,0,0,"Historical Results",1181.95,959.22
"El Salvador","Latin America & Caribbean","Lower middle income",2013,0,0,0,"Historical Results",968.31,745.64
"Somalia","Sub-Saharan Africa","Low income",2013,0,0,0,"Historical Results",3066.42,2586.06
"Serbia","Europe & Central Asia","Upper middle income",2013,0,0,0,"Historical Results",779.68,448.2
"São Tomé and Príncipe","Sub-Saharan Africa","Lower middle income",2013,0,0,0,"Historical Results",87.87,84.22
"Suriname","Latin America & Caribbean","Upper middle income",2013,0,0,0,"Historical Results",101.68,71.72
"Slovak Republic","Europe & Central Asia","High income",2013,0,0,0,"Historical Results",380.2,190.29
"Slovenia","Europe & Central Asia","High income",2013,0.4,19.87,13.11,"Historical Results",50.69,33.45
"Sweden","Europe & Central Asia","High income",2013,0,0,0,"Historical Results",404.52,172.75
"Eswatini","Sub-Saharan Africa","Lower middle income",2013,0,0,0,"Historical Results",802.47,580.18
"Chad","Sub-Saharan Africa","Low income",2013,0,0,0,"Historical Results",2100.54,1762.56
"Togo","Sub-Saharan Africa","Low income",2013,0,0,0,"Historical Results",1343.32,1057.57
"Thailand","East Asia & Pacific","Upper middle income",2013,0,0,0,"Historical Results",7770.79,5099.62
"Tajikistan","Europe & Central Asia","Lower middle income",2013,0,0,0,"Historical Results",634.71,475.42
"Turkmenistan","Europe & Central Asia","Upper middle income",2013,0,0,0,"Historical Results",584.89,390.63
"Timor-Leste","East Asia & Pacific","Lower middle income",2013,0,0,0,"Historical Results",204.46,154.65
"Tonga","East Asia & Pacific","Upper middle income",2013,0,0,0,"Historical Results",34.66,28.8
"Trinidad and Tobago","Latin America & Caribbean","High income",2013,0.08,14.46,9.57,"Historical Results",184.46,122
"Tunisia","Middle East & North Africa","Lower middle income",2013,0,0,0,"Historical Results",385.39,236.34
"Türkiye","Europe & Central Asia","Upper middle income",2013,0,0,0,"Historical Results",3888.29,2556.27
"Tuvalu","East Asia & Pacific","Upper middle income",2013,0,0,0,"Historical Results",3.86,3.21
"Tanzania","Sub-Saharan Africa","Lower middle income",2013,0,0,0,"Historical Results",32245.07,23638.32
"Uganda","Sub-Saharan Africa","Low income",2013,0,0,0,"Historical Results",20670.76,16546.92
"Ukraine","Europe & Central Asia","Lower middle income",2013,0,0,0,"Historical Results",2002.7,880.74
"Uruguay","Latin America & Caribbean","High income",2013,0,0,0,"Historical Results",244.24,163.22
"United States","North America","High income",2013,0.26,2880.77,1457.32,"Historical Results",11306.01,5719.48
"Uzbekistan","Europe & Central Asia","Lower middle income",2013,0,0,0,"Historical Results",2403.04,1621.11
"Vietnam","East Asia & Pacific","Lower middle income",2013,0,0,0,"Historical Results",4714.65,3339.57
"Vanuatu","East Asia & Pacific","Lower middle income",2013,0,0,0,"Historical Results",33.31,29.59
"Samoa","East Asia & Pacific","Lower middle income",2013,0,0,0,"Historical Results",21.95,17.57
"Kosovo","Europe & Central Asia","Upper middle income",2013,0,0,0,"Historical Results",59.89,35.87
"South Africa","Sub-Saharan Africa","Upper middle income",2013,0,0,0,"Historical Results",13165.98,7704.27
"Zambia","Sub-Saharan Africa","Low income",2013,0,0,0,"Historical Results",10515.84,7572.33
"Zimbabwe","Sub-Saharan Africa","Lower middle income",2013,0,0,0,"Historical Results",7734.59,5929.83
"Afghanistan","South Asia","Low income",2014,0,0,0,"Historical Results",3583.62,2774.75
"Angola","Sub-Saharan Africa","Lower middle income",2014,0,0,0,"Historical Results",10327.97,7530.31
"Albania","Europe & Central Asia","Upper middle income",2014,0,0,0,"Historical Results",121.51,73.7
"United Arab Emirates","Middle East & North Africa","High income",2014,0,0,0,"Historical Results",257.8,194.3
"Argentina","Latin America & Caribbean","Upper middle income",2014,0.54,2539.71,1660.55,"Historical Results",4799.15,3137.86
"Armenia","Europe & Central Asia","Upper middle income",2014,0,0,0,"Historical Results",132.36,97.53
"Australia","East Asia & Pacific","High income",2014,0.66,442.75,239.25,"Historical Results",684.52,369.9
"Austria","Europe & Central Asia","High income",2014,0,0,0,"Historical Results",226.1,118.17
"Azerbaijan","Europe & Central Asia","Upper middle income",2014,0,0,0,"Historical Results",368.84,248.94
"Burundi","Sub-Saharan Africa","Low income",2014,0,0,0,"Historical Results",4476.64,3734.92
"Belgium","Europe & Central Asia","High income",2014,0.64,267.49,121.79,"Historical Results",426.49,194.17
"Benin","Sub-Saharan Africa","Lower middle income",2014,0,0,0,"Historical Results",1424.96,1050
"Burkina Faso","Sub-Saharan Africa","Low income",2014,0,0,0,"Historical Results",2887.3,2394.55
"Bangladesh","South Asia","Lower middle income",2014,0,0,0,"Historical Results",13336.93,9322.69
"Bulgaria","Europe & Central Asia","Upper middle income",2014,0.14,61.15,33.4,"Historical Results",445.72,243.46
"Bahrain","Middle East & North Africa","High income",2014,0,0,0,"Historical Results",38.06,25.19
"Bahamas, The","Latin America & Caribbean","High income",2014,0,0,0,"Historical Results",51.59,37.95
"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income",2014,0,0,0,"Historical Results",175.17,97.12
"Belarus","Europe & Central Asia","Upper middle income",2014,0,0,0,"Historical Results",392.61,180.6
"Belize","Latin America & Caribbean","Upper middle income",2014,0,0,0,"Historical Results",80.68,78.66
"Bolivia","Latin America & Caribbean","Lower middle income",2014,0,0,0,"Historical Results",3005.68,2279.39
"Brazil","Latin America & Caribbean","Upper middle income",2014,0.59,12400.19,7490.42,"Historical Results",21446.19,12954.72
"Barbados","Latin America & Caribbean","High income",2014,0.08,2.68,1.82,"Historical Results",34.22,23.27
"Brunei Darussalam","East Asia & Pacific","High income",2014,0.81,37.71,12.35,"Historical Results",47.5,15.56
"Bhutan","South Asia","Lower middle income",2014,0.94,72.81,48.66,"Historical Results",79.03,52.83
"Botswana","Sub-Saharan Africa","Upper middle income",2014,0,0,0,"Historical Results",702.1,488.94
"Central African Republic","Sub-Saharan Africa","Low income",2014,0,0,0,"Historical Results",854.18,701.17
"Canada","North America","High income",2014,0.74,670.55,384.77,"Historical Results",924.63,530.57
"Switzerland","Europe & Central Asia","High income",2014,0.56,82.51,44.97,"Historical Results",150.34,81.94
"Chile","Latin America & Caribbean","High income",2014,0,0,0,"Historical Results",1505.27,1034.86
"China","East Asia & Pacific","Upper middle income",2014,0,0,0,"Historical Results",66792.83,42328.95
"Côte d’Ivoire","Sub-Saharan Africa","Lower middle income",2014,0,0,0,"Historical Results",6565.47,5096.28
"Cameroon","Sub-Saharan Africa","Lower middle income",2014,0,0,0,"Historical Results",6266.96,4642.34
"Congo, Dem. Rep.","Sub-Saharan Africa","Low income",2014,0,0,0,"Historical Results",23120.11,18510.39
"Congo, Rep.","Sub-Saharan Africa","Lower middle income",2014,0,0,0,"Historical Results",1079.7,751.12
"Colombia","Latin America & Caribbean","Upper middle income",2014,0.17,1108.15,760.55,"Historical Results",6651.54,4565.15
"Comoros","Sub-Saharan Africa","Lower middle income",2014,0,0,0,"Historical Results",357.66,275.78
"Cabo Verde","Sub-Saharan Africa","Lower middle income",2014,0,0,0,"Historical Results",81.99,73.36
"Costa Rica","Latin America & Caribbean","Upper middle income",2014,0,0,0,"Historical Results",330.51,296.97
"Cyprus","Europe & Central Asia","High income",2014,0,0,0,"Historical Results",33.92,42.55
"Czech Republic","Europe & Central Asia","High income",2014,0,0,0,"Historical Results",390.04,236.56
"Germany","Europe & Central Asia","High income",2014,0.31,756.59,381.46,"Historical Results",2490.44,1255.63
"Djibouti","Middle East & North Africa","Lower middle income",2014,0,0,0,"Historical Results",105.24,84.12
"Denmark","Europe & Central Asia","High income",2014,0.66,181.48,84.82,"Historical Results",280.58,131.14
"Dominican Republic","Latin America & Caribbean","Upper middle income",2014,0,0,0,"Historical Results",2028.8,1657.18
"Algeria","Middle East & North Africa","Lower middle income",2014,0,0,0,"Historical Results",2373.57,1555.08
"Ecuador","Latin America & Caribbean","Upper middle income",2014,0.81,2487.31,1748.55,"Historical Results",3133.42,2202.76
"Egypt, Arab Rep.","Middle East & North Africa","Lower middle income",2014,0,0,0,"Historical Results",2958.68,2229.02
"Spain","Europe & Central Asia","High income",2014,0.73,777.05,388.17,"Historical Results",1086.18,542.59
"Estonia","Europe & Central Asia","High income",2014,0,0,0,"Historical Results",101.05,35.46
"Ethiopia","Sub-Saharan Africa","Low income",2014,0,0,0,"Historical Results",22933.36,18511.45
"Finland","Europe & Central Asia","High income",2014,0,0,0,"Historical Results",121.13,53.19
"Fiji","East Asia & Pacific","Upper middle income",2014,0.89,177.06,144.46,"Historical Results",203,165.63
"France","Europe & Central Asia","High income",2014,0.13,346.47,164.93,"Historical Results",2719.58,1294.57
"Micronesia, Fed. Sts.","East Asia & Pacific","Lower middle income",2014,0,0,0,"Historical Results",28.06,21.6
"Gabon","Sub-Saharan Africa","Upper middle income",2014,0,0,0,"Historical Results",490.37,300.01
